source_key,display_name,exclude_reason,review_status,source_unit,display_unit,conversion_notes,presence_count,nonzero_count,sample_values
0_100g,0,malformed_nutriment_key,excluded,g/100g,g/100g,source presumed g/100g; review if micronutrient,1,1,[0.091]
added-sugars_prepared_100g,Added Sugars,prepared_duplicate_needs_per_ingredient_fallback,excluded,g/100g,g/100g,source already expressed as g/100g,3,2,"[12.3, 8.94, 0.0]"
alcohol_prepared_100g,Alcohol,prepared_duplicate_needs_per_ingredient_fallback,excluded,g/100g,g/100g,source already expressed as g/100g,9,1,"[0.0, 4.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
arachidic-acid_100g,Arachidic Acid,zero_only_unmatched_in_current_profiles,excluded,g/100g,g/100g,source presumed g/100g; review if micronutrient,8,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ash_100g,Ash,proximate_analysis_residue_not_health_effect_target,excluded,g/100g,g/100g,source presumed g/100g; review if micronutrient,14,14,"[0.1, 0.22499999999999998, 0.07, 0.3, 0.94, 0.04, 0.9, 1.0, 0.97, 0.05]"
beurre-de-cacao-minimum_100g,Beurre De Cacao Minimum,ingredient_fraction_not_nutriment,excluded,g/100g,g/100g,source presumed g/100g; review if micronutrient,1,1,[11.0]
beurre-de-cacao_100g,Beurre De Cacao,ingredient_fraction_not_nutriment,excluded,g/100g,g/100g,source presumed g/100g; review if micronutrient,1,1,[11.0]
bicarbonate_100g,Bicarbonate,no_matching_evidence_target_review_later,excluded,g/100g,g/100g,source presumed g/100g; review if micronutrient,6,6,"[0.002, 0.0522, 0.061, 0.06403, 0.0096, 0.043000000000000003]"
biotin_prepared_100g,Biotin,prepared_duplicate_needs_per_ingredient_fallback,excluded,g/100g,ug/100g,"source g/100g converted to ug/100g by multiplying by 1,000,000",2,2,"[4.905e-05, 1.84e-06]"
calcium_prepared_100g,Calcium,prepared_duplicate_needs_per_ingredient_fallback,excluded,g/100g,mg/100g,"source g/100g converted to mg/100g by multiplying by 1,000",13,13,"[0.11800000000000001, 0.13, 0.118, 0.056625, 0.12, 0.158, 0.23, 0.23900000000000002, 0.118, 0.1179]"
caprylic-acid_100g,Caprylic Acid,zero_only_unmatched_in_current_profiles,excluded,g/100g,g/100g,source presumed g/100g; review if micronutrient,1,0,[0.0]
carbohydrates_prepared_100g,Carbohydrates,prepared_duplicate_needs_per_ingredient_fallback,excluded,g/100g,g/100g,source already expressed as g/100g,144,119,"[7.825, 0.5, 10.8, 8.6, 9.45, 0.3, 51.22, 8.2, 41.35, 7.8]"
carbon-footprint-from-known-ingredients_100g,Carbon Footprint From Known Ingredients,environmental_metadata_not_nutriment,excluded,g/100g,g/100g,source presumed g/100g; review if micronutrient,468,468,"[31.400000000000002, 28.05, 256.89000000000004, 277.3, 0.44000000000000006, 58.75, 1856.245, 89.7, 41.00000000000001, 1.1]"
carbon-footprint_100g,Carbon Footprint,environmental_metadata_not_nutriment,excluded,g/100g,g/100g,source presumed g/100g; review if micronutrient,10,5,"[0.0, 0.0, 0.0, 5.0, 0.0, 35.0, 0.0, 130.0, 100.0, 1.275]"
cholesterol_prepared_100g,Cholesterol,prepared_duplicate_needs_per_ingredient_fallback,excluded,g/100g,g/100g,source already expressed as g/100g,2,1,"[0.0, 0.00307]"
chromium_prepared_100g,Chromium,prepared_duplicate_needs_per_ingredient_fallback,excluded,g/100g,ug/100g,"source g/100g converted to ug/100g by multiplying by 1,000,000",1,1,[2.15e-06]
cocoa_prepared_100g,Cocoa,prepared_duplicate_needs_per_ingredient_fallback,excluded,g/100g,g/100g,source presumed g/100g; review if micronutrient,1,1,[17.0]
copper_prepared_100g,Copper,prepared_duplicate_needs_per_ingredient_fallback,excluded,g/100g,mg/100g,"source g/100g converted to mg/100g by multiplying by 1,000",1,1,[0.000273]
en-arginine-akg_100g,En Arginine Akg,zero_only_unmatched_in_current_profiles,excluded,g/100g,g/100g,source presumed g/100g; review if micronutrient,1,0,[0.0]
en-beta-alanine_100g,En Beta Alanine,zero_only_unmatched_in_current_profiles,excluded,g/100g,g/100g,source presumed g/100g; review if micronutrient,1,0,[0.0]
en-black-currant-chokeberry-apple_100g,En Black Currant Chokeberry Apple,ingredient_blend_field_not_nutriment,excluded,g/100g,g/100g,source presumed g/100g; review if micronutrient,1,1,[10.0]
en-citruline-malate_100g,En Citruline Malate,zero_only_unmatched_in_current_profiles,excluded,g/100g,g/100g,source presumed g/100g; review if micronutrient,1,0,[0.0]
energy-cal_100g,Energy Cal,zero_only_energy_value,excluded,g/100g,g/100g,source presumed g/100g; review if micronutrient,1,0,[0.0]
energy-from-fat_100g,Energy From Fat,energy_value_not_health_effect_nutriment,excluded,g/100g,g/100g,source already expressed as g/100g,18,9,"[0.0, 64.1152, 11.25, 0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 0.0]"
energy-g_100g,Energy G,energy_value_not_health_effect_nutriment,excluded,g/100g,g/100g,source presumed g/100g; review if micronutrient,8,7,"[0.0, 10.0, 33.333333333333, 1.0, 3.0, 38.0, 311.0, 2.0]"
energy-kcal_100g,Energy Kcal,energy_value_not_health_effect_nutriment,excluded,kcal/100g,kcal/100g,no mass conversion; special unit or score field,1482,1353,"[293.0, 40.0, 12.0, 0.0, 464.0, 43.0, 45.8333333333335, 0.0, 55.0835, 374.0]"
energy-kcal_prepared_100g,Energy Kcal,prepared_duplicate_or_energy_value,excluded,g/100g,g/100g,source presumed g/100g; review if micronutrient,138,136,"[2.0, 43.2, 43.0, 39.0, 1.0, 50.0, 33.0, 236.5, 35.0, 42.0]"
energy-kj_100g,Energy Kj,energy_value_not_health_effect_nutriment,excluded,kJ/100g,kJ/100g,no mass conversion; special unit or score field,915,853,"[1226.0, 0.0, 1939.0, 180.1, 230.529004, 1561.0, 201.0, 197.0, 182.0, 77.0]"
energy-kj_prepared_100g,Energy Kj,prepared_duplicate_or_energy_value,excluded,g/100g,g/100g,source presumed g/100g; review if micronutrient,131,130,"[230.529004, 8.4, 181.0, 181.0, 166.0, 139.0, 995.5, 146.0, 176.0, 8.4]"
energy_100g,Energy,energy_value_not_health_effect_nutriment,excluded,kJ/100g,kJ/100g,no mass conversion; special unit or score field,1154,1041,"[1226.0, 167.36, 50.2, 0.0, 180.1, 191.5, 0.0, 230.529004, 1561.0, 201.0]"
energy_prepared_100g,Energy,prepared_duplicate_or_energy_value,excluded,g/100g,g/100g,source presumed g/100g; review if micronutrient,147,144,"[230.529004, 8.4, 181.0, 181.0, 166.0, 4.0, 209.0, 139.0, 995.5, 146.0]"
fat_prepared_100g,Fat,prepared_duplicate_needs_per_ingredient_fallback,excluded,g/100g,g/100g,source already expressed as g/100g,143,50,"[1.5115, 0.0, 0.0, 0.4, 0.05, 0.0, 0.1, 0.0, 6.7, 0.2]"
fiber_prepared_100g,Fiber,prepared_duplicate_needs_per_ingredient_fallback,excluded,g/100g,g/100g,source already expressed as g/100g,76,37,"[0.0, 0.0, 1.5899999999999999, 0.0, 0.0, 0.25, 0.5, 0.0, 0.0, 0.5]"
folates_prepared_100g,Folates,prepared_duplicate_needs_per_ingredient_fallback,excluded,g/100g,mg/100g,"source g/100g converted to mg/100g by multiplying by 1,000",1,1,[2.46e-05]
fruits-legumes-et-noix-minimum_100g,Fruits Legumes Et Noix Minimum,ingredient_estimate_not_nutriment,excluded,g/100g,g/100g,source presumed g/100g; review if micronutrient,3,3,"[70.0, 11.0, 11.0]"
fruits-vegetables-and-nuts-dried_100g,Fruits Vegetables And Nuts Dried,ingredient_estimate_not_nutriment,excluded,g/100g,g/100g,source presumed g/100g; review if micronutrient,1,1,[10.0]
fruits-vegetables-and-nuts-estimate-from-ingredients-list_100g,Fruits Vegetables And Nuts Estimate From Ingredients List,ingredient_estimate_not_nutriment,excluded,g/100g,g/100g,source presumed g/100g; review if micronutrient,1,1,[100.0]
fruits-vegetables-legumes-estimate-from-ingredients_100g,Fruits Vegetables Legumes Estimate From Ingredients,ingredient_estimate_not_nutriment,excluded,g/100g,g/100g,source presumed g/100g; review if micronutrient,1133,484,"[10.0, 0.0, 0.0, 0.0, 41.0, 30.01736111111111, 0.0, 0.0, 0.0, 0.0]"
fruits-vegetables-nuts-dried_100g,Fruits Vegetables Nuts Dried,ingredient_estimate_not_nutriment,excluded,g/100g,g/100g,source presumed g/100g; review if micronutrient,13,8,"[100.0, 0.0, 100.0, 25.0, 0.0, 0.16, 100.0, 0.0, 100.0, 100.0]"
fruits-vegetables-nuts-dried_prepared_100g,Fruits Vegetables Nuts Dried,ingredient_estimate_not_nutriment,excluded,g/100g,g/100g,source presumed g/100g; review if micronutrient,1,0,[0.0]
fruits-vegetables-nuts-estimate-from-ingredients_100g,Fruits Vegetables Nuts Estimate From Ingredients,ingredient_estimate_not_nutriment,excluded,g/100g,g/100g,source presumed g/100g; review if micronutrient,1133,501,"[10.0, 0.0, 0.0, 0.0, 41.0, 30.01736111111111, 0.0, 0.0, 0.0, 0.0]"
fruits-vegetables-nuts-estimate_100g,Fruits Vegetables Nuts Estimate,ingredient_estimate_not_nutriment,excluded,g/100g,g/100g,source presumed g/100g; review if micronutrient,109,104,"[100.0, 50.0, 18.5, 0.55, 30.0, 37.5, 1.0, 10.0, 11.0, 100.0]"
fruits-vegetables-nuts-estimate_prepared_100g,Fruits Vegetables Nuts Estimate,ingredient_estimate_not_nutriment,excluded,g/100g,g/100g,source presumed g/100g; review if micronutrient,3,3,"[1.0, 97.0, 20.0]"
