canonical_bioactive_name,source_key_count,total_presence_count,total_nonzero_count,source_keys,display_names,source_units,display_units,review_statuses,match_methods
Alcohol,1,505,15,alcohol_100g,Alcohol,g/100g,g/100g,auto_mapped,exact_normalized_match
Alpha Linolenic Acid,1,18,7,alpha-linolenic-acid_100g,Alpha Linolenic Acid,g/100g,g/100g,alias_mapped_review,manual_alias
Arachidonic Acid,1,4,2,arachidonic-acid_100g,Arachidonic Acid,g/100g,g/100g,auto_mapped,exact_normalized_match
Behenic Acid,1,1,1,behenic-acid_100g,Behenic Acid,g/100g,g/100g,auto_mapped,exact_normalized_match
Beta Carotene,2,6,6,beta-carotene_100g; en-α-カロテン_100g,Beta Carotene,g/100g,g/100g,alias_mapped_review; auto_mapped,exact_normalized_match; second_pass_alias
Beta Glucan,1,1,1,beta-glucan_100g,Beta Glucan,g/100g,g/100g,auto_mapped,exact_normalized_match
Biotin,2,99,89,biotin_100g; vit-h_100g,Biotin,g/100g,ug/100g,alias_mapped_review; auto_mapped,exact_normalized_match; second_pass_alias
Caffeine,5,170,103,cafeina_100g; caffeine_100g; kofeina_100g; koffein_100g; teina_100g,Caffeine,g/100g,mg/100g,alias_mapped_review; auto_mapped,exact_normalized_match; manual_alias; second_pass_alias
Calcium,1,804,523,calcium_100g,Calcium,g/100g,mg/100g,auto_mapped,exact_normalized_match
Carbohydrates,2,1487,1306,carbohydrates-total_100g; carbohydrates_100g,Carbohydrates,g/100g,g/100g,alias_mapped_review; auto_mapped,exact_normalized_match; manual_alias
Casein,1,1,0,casein_100g,Casein,g/100g,g/100g,auto_mapped,exact_normalized_match
Chloride,3,25,22,chlorid_100g; chloride_100g; chlorine-cl_100g,Chloride,g/100g,mg/100g,alias_mapped_review; auto_mapped,exact_normalized_match; second_pass_alias; third_pass_alias
Cholesterol,1,755,95,cholesterol_100g,Cholesterol,g/100g,g/100g,auto_mapped,exact_normalized_match
Choline,3,89,18,choline-total_100g; choline_100g; en-choline-citrate_100g,Choline,g/100g,mg/100g,alias_mapped_review; auto_mapped,exact_normalized_match; manual_alias; third_pass_alias
Chromium,2,20,18,chromium-cr_100g; chromium_100g,Chromium,g/100g,mg/100g; ug/100g,alias_mapped_review; auto_mapped,exact_normalized_match; third_pass_alias
Cocoa flavanols,1,17,17,cocoa_100g,Cocoa flavanols,g/100g,g/100g,alias_mapped_review,manual_alias
Copper,2,120,58,copper-cu_100g; copper_100g,Copper,g/100g,mg/100g,alias_mapped_review; auto_mapped,exact_normalized_match; manual_alias
Docosahexaenoic Acid,1,1,1,docosahexaenoic-acid_100g,Docosahexaenoic Acid,g/100g,g/100g,alias_mapped_review,manual_alias
Erythritol,3,14,10,en-eryhritol_100g; en-erythritol_100g; erythritol_100g,Erythritol,g/100g,g/100g; mg/100g,alias_mapped_review; auto_mapped,exact_normalized_match; second_pass_alias; third_pass_alias
Fat,2,1483,410,fat_100g; unsaturated-fat_100g,Fat,g/100g,g/100g,alias_mapped_review; auto_mapped,exact_normalized_match; fourth_pass_broad_alias
Fiber,1,1371,476,fiber_100g,Fiber,g/100g,g/100g,auto_mapped,exact_normalized_match
Fluoride,2,15,13,fluoride-f_100g; fluoride_100g,Fluoride,g/100g,mg/100g,alias_mapped_review; auto_mapped,exact_normalized_match; manual_alias_variant
Folate,8,115,79,en-葉酸_100g; folate-dfe_100g; folate-food_100g; folate-total_100g; folates_100g; folic-acid_100g; th-โฟเลต_100g; vitamin-b9-folic-acid_100g,Folate,g/100g,ug/100g,alias_mapped_review,manual_alias; second_pass_alias; third_pass_alias
Fructose,1,6,5,fructose_100g,Fructose,g/100g,g/100g,auto_mapped,exact_normalized_match
Glucose,1,8,6,glucose_100g,Glucose,g/100g,g/100g,auto_mapped,exact_normalized_match
Gluten,1,1,0,en-gluten_100g,Gluten,g/100g,g/100g,alias_mapped_review,third_pass_alias
Green tea extract / EGCG,1,1,1,es-extracto-de-te-verde_100g,Green tea extract / EGCG,g/100g,g/100g,alias_mapped_review,second_pass_alias
Insoluble Fiber,2,5,3,fiber-insoluble_100g; insoluble-fiber_100g,Insoluble Fiber,g/100g,g/100g,alias_mapped_review; auto_mapped,exact_normalized_match; second_pass_alias
Iodine,2,47,44,iodine-i_100g; iodine_100g,Iodine,g/100g,ug/100g,alias_mapped_review; auto_mapped,exact_normalized_match; second_pass_alias
Iron,2,772,382,iron-fe_100g; iron_100g,Iron,g/100g,mg/100g,alias_mapped_review; auto_mapped,exact_normalized_match; manual_alias
Lactose,1,23,10,lactose_100g,Lactose,g/100g,g/100g,auto_mapped,exact_normalized_match
Linoleic Acid,1,4,3,linoleic-acid_100g,Linoleic Acid,g/100g,g/100g,auto_mapped,exact_normalized_match
Magnesium,1,241,191,magnesium_100g,Magnesium,g/100g,mg/100g,auto_mapped,exact_normalized_match
Maltodextrins,1,2,2,maltodextrins_100g,Maltodextrins,g/100g,g/100g,auto_mapped,exact_normalized_match
Maltose,1,7,5,maltose_100g,Maltose,g/100g,g/100g,auto_mapped,exact_normalized_match
Manganese,2,144,58,manganese-mn_100g; manganese_100g,Manganese,g/100g,mg/100g,alias_mapped_review; auto_mapped,exact_normalized_match; manual_alias
Molybdenum,2,11,10,molybdenum-mo_100g; molybdenum_100g,Molybdenum,g/100g,mg/100g; ug/100g,alias_mapped_review; auto_mapped,exact_normalized_match; third_pass_alias
